seed,ratio,eligible_rounds,mean_delta_over_mu,max_delta_over_mu_deviation,mean_chi,mean_rho,expected_chi
23,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
24,0.0,5000,0.0,0.0,0.0,0.0,0.0
24,0.25,5000,0.25,7.169265181516948e-14,0.0,0.0,0.0
24,0.5,5000,0.5,9.992007221626409e-14,0.0,0.0,0.0
24,0.75,5000,0.75,1.4988010832439613e-13,0.0,0.0,0.0
24,0.9,5000,0.9,1.7985612998927536e-13,0.0,0.0,0.0
24,0.99,5000,0.99,1.978417429882029e-13,0.0,0.0,0.0
24,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
24,1.01,5000,1.01,1.978417429882029e-13,1.0,0.022222222222222223,1.0
24,1.1,5000,1.1,1.7963408538435033e-13,1.0,0.022222222222222223,1.0
24,1.25,5000,1.25,1.4988010832439613e-13,1.0,0.022222222222222223,1.0
24,1.5,5000,1.5,9.992007221626409e-14,1.0,0.022222222222222223,1.0
24,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
25,0.0,5000,0.0,0.0,0.0,0.0,0.0
25,0.25,5000,0.24999999999999992,4.3540171468237077e-13,0.0,0.0,0.0
25,0.5,5000,0.5000000000000001,2.902122986370159e-13,0.0,0.0,0.0
25,0.75,5000,0.7500000000000001,2.745581539898012e-13,0.0,0.0,0.0
25,0.9,5000,0.9,2.808864252301646e-13,0.0,0.0,0.0
25,0.99,5000,0.99,2.728928194528635e-13,0.0,0.0,0.0
25,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
25,1.01,5000,1.0099999999999998,2.728928194528635e-13,1.0,0.022222222222222223,1.0
25,1.1,5000,1.1,2.8066438062523957e-13,1.0,0.022222222222222223,1.0
25,1.25,5000,1.25,2.744471316873387e-13,1.0,0.022222222222222223,1.0
25,1.5,5000,1.5,2.902122986370159e-13,1.0,0.022222222222222223,1.0
25,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
26,0.0,5000,0.0,0.0,0.0,0.0,0.0
26,0.25,5000,0.24999999999999994,1.4940826353893044e-13,0.0,0.0,0.0
26,0.5,5000,0.5,6.761258219967203e-14,0.0,0.0,0.0
26,0.75,5000,0.75,1.4943601911454607e-13,0.0,0.0,0.0
26,0.9,5000,0.9,1.2534417948018017e-13,0.0,0.0,0.0
26,0.99,5000,0.99,9.370282327836321e-14,0.0,0.0,0.0
26,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
26,1.01,5000,1.01,9.370282327836321e-14,1.0,0.022222222222222223,1.0
26,1.1,5000,1.1,1.2523315717771766e-13,1.0,0.022222222222222223,1.0
26,1.25,5000,1.25,1.4943601911454607e-13,1.0,0.022222222222222223,1.0
26,1.5,5000,1.5,6.772360450213455e-14,1.0,0.022222222222222223,1.0
26,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
27,0.0,5000,0.0,0.0,0.0,0.0,0.0
27,0.25,5000,0.2500000000000009,4.34308145003115e-12,0.0,0.0,0.0
27,0.5,5000,0.5,1.9761969838327786e-14,0.0,0.0,0.0
27,0.75,5000,0.7499999999999991,4.34308145003115e-12,0.0,0.0,0.0
27,0.9,5000,0.9000000000000009,3.4744429555644274e-12,0.0,0.0,0.0
27,0.99,5000,0.99,5.211386877590485e-13,0.0,0.0,0.0
27,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
27,1.01,5000,1.01,5.211386877590485e-13,1.0,0.022222222222222223,1.0
27,1.1,5000,1.0999999999999992,3.47455397786689e-12,1.0,0.022222222222222223,1.0
27,1.25,5000,1.2500000000000009,4.343192472333612e-12,1.0,0.022222222222222223,1.0
27,1.5,5000,1.5,1.9761969838327786e-14,1.0,0.022222222222222223,1.0
27,2.0,5000,2.0,0.0,1.0,0.022222222222222223,1.0
28,0.0,5000,0.0,0.0,0.0,0.0,0.0
28,0.25,5000,0.2500000000000001,5.38680211548126e-13,0.0,0.0,0.0
28,0.5,5000,0.5000000000000002,1.077360423096252e-12,0.0,0.0,0.0
28,0.75,5000,0.7500000000000002,1.6160406346443779e-12,0.0,0.0,0.0
28,0.9,5000,0.9,6.463718449367661e-13,0.0,0.0,0.0
28,0.99,5000,0.99,2.80109269112927e-13,0.0,0.0,0.0
28,1.0,5000,1.0,2.220446049250313e-16,0.5,0.022222222222222223,0.5
28,1.01,5000,1.01,2.799982468104645e-13,1.0,0.022222222222222223,1.0
