run_id,created_time,experiment_id,mode,config_hash,seed,delay_setting,method,T,K,D_max,delay_meta_type,delay_meta_p,delay_meta_w,delay_meta_p_fast,delay_meta_p_slow,delay_meta_switch_t
toy_full_548dad5802_0_delay_naive_s005,2026-06-20T06:13:05.752969Z,toy,full,548dad5802,5,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s005,2026-06-20T06:13:05.775403Z,toy,full,548dad5802,5,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s005,2026-06-20T06:13:05.794923Z,toy,full,548dad5802,5,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s005,2026-06-20T06:13:05.816282Z,toy,full,548dad5802,5,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s005,2026-06-20T06:13:05.837763Z,toy,full,548dad5802,5,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s005,2026-06-20T06:13:05.857750Z,toy,full,548dad5802,5,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s005,2026-06-20T06:13:05.879590Z,toy,full,548dad5802,5,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s005,2026-06-20T06:13:05.901444Z,toy,full,548dad5802,5,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s005,2026-06-20T06:13:05.920984Z,toy,full,548dad5802,5,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s005,2026-06-20T06:13:05.942394Z,toy,full,548dad5802,5,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_causal_labelled_s005,2026-06-20T06:13:05.963759Z,toy,full,548dad5802,5,mixed_geom_0.6+0.1_w0.2,causal_labelled,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_0_delay_oracle_s006,2026-06-20T06:13:05.983294Z,toy,full,548dad5802,6,0_delay,oracle,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_naive_s006,2026-06-20T06:13:06.005383Z,toy,full,548dad5802,6,0_delay,naive,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_0_delay_causal_labelled_s006,2026-06-20T06:13:06.027645Z,toy,full,548dad5802,6,0_delay,causal_labelled,2000,5,10,zero_delay,NA,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_oracle_s006,2026-06-20T06:13:06.046974Z,toy,full,548dad5802,6,geom_0.15,oracle,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_naive_s006,2026-06-20T06:13:06.068361Z,toy,full,548dad5802,6,geom_0.15,naive,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_geom_0.15_causal_labelled_s006,2026-06-20T06:13:06.089787Z,toy,full,548dad5802,6,geom_0.15,causal_labelled,2000,5,10,geometric,0.15,NA,NA,NA,NA
toy_full_548dad5802_piece_0.6to0.15_oracle_s006,2026-06-20T06:13:06.109854Z,toy,full,548dad5802,6,piece_0.6to0.15,oracle,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_naive_s006,2026-06-20T06:13:06.131727Z,toy,full,548dad5802,6,piece_0.6to0.15,naive,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_piece_0.6to0.15_causal_labelled_s006,2026-06-20T06:13:06.153540Z,toy,full,548dad5802,6,piece_0.6to0.15,causal_labelled,2000,5,10,piecewise,NA,NA,NA,NA,1000
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_oracle_s006,2026-06-20T06:13:06.173053Z,toy,full,548dad5802,6,mixed_geom_0.6+0.1_w0.2,oracle,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
toy_full_548dad5802_mixed_geom_0.6+0.1_w0.2_naive_s006,2026-06-20T06:13:06.194185Z,toy,full,548dad5802,6,mixed_geom_0.6+0.1_w0.2,naive,2000,5,10,mixture,NA,0.2,0.6,0.1,NA
