mechanism_id,mechanism_display_name,route_id,route_display_name,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,multiarrival_clock_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
exact_valid_shift,Exact-cardinal-valid shift,source_bound,Source-bound assignment,mean_route_map_age,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,generated_mean_delay,30,14.970849673202613,0.03199355141760655,14.904618790849673,15.028969117647058,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,alignment_budget_rate,30,0.2587714326563771,0.00207376701990774,0.25492279617175545,0.26270635636278084,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,structural_regret_rate,30,0.03256515053940204,0.0004687491552906105,0.03165334150954422,0.03340151641998585,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,route_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,transfer_bound_rate,30,0.2587714326563771,0.00207376701990774,0.25461763920597624,0.26262536742411674,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,transfer_slack_rate,30,0.22620628211697508,0.0016367818148551054,0.2231320561420183,0.2293375100785231,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,regret_stability_slack_rate,30,0.22620628211697508,0.0016367818148551054,0.22308054887818524,0.2292459413867709,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,ranking_reversal_rate,30,0.6680466666666667,0.0033254115062385506,0.6615111666666667,0.67436,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,pairwise_sign_disagreement_rate,30,0.16196459259259258,0.0016687012661957853,0.15848511851851854,0.16523448888888884,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,directed_choice_disagreement_rate,30,0.6680466666666667,0.0033254115062385506,0.6616628333333332,0.6743808333333333,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,complete_conflict_rate,30,0.6680466666666667,0.0033254115062385506,0.6616729999999998,0.6744268333333334,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,mean_structural_conflict_margin,30,0.048720139184114185,0.0005964524773263752,0.04754871900217094,0.049897387617536794,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,min_structural_conflict_margin,30,7.944401857501796e-06,1.133993505531933e-06,5.948780696140815e-06,1.0305167394364973e-05,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,mean_route_conflict_margin,30,0.006035305615276067,1.364295756874883e-05,0.006008357604253285,0.006060131722216251,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,min_route_conflict_margin,30,6.616305978006936e-06,1.1757547359737743e-06,4.577872138482918e-06,9.029887658687434e-06,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,margin_preservation_rate,30,0.04608666666666668,0.0009287580798470751,0.04436666666666667,0.04784666666666667,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,mean_reversal_margin,30,0.048720139184114185,0.0005964524773263752,0.047578319656888,0.04987752626249656,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,empty_arrival_clock_rate,30,0.36318,0.0008787844269020243,0.36144000000000004,0.36484683333333334,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,multiarrival_clock_rate,30,0.2640266666666667,0.0006688974172392005,0.26275316666666665,0.2652735,2000,0.95,full,False
geometric_delay,Geometric delay,arrival_assigned,Arrival-time assignment,mean_route_map_age,30,11.60404,0.04275747312512722,11.5220845,11.683603333333332,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,generated_mean_delay,30,14.970849673202613,0.03199355141760655,14.907159477124184,15.029636764705883,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,alignment_budget_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,structural_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,route_regret_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,transfer_bound_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,transfer_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
geometric_delay,Geometric delay,source_bound,Source-bound assignment,regret_stability_slack_rate,30,0.0,0.0,0.0,0.0,2000,0.95,full,False
