figure_id,panel_id,mechanism_id,mechanism_display_name,delay_threshold,metric_id,n_seeds,estimate,se,ci_lower,ci_upper,bootstrap_repetitions,ci_level,run_tier,paper_result
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,88,delay_survival_probability,30,0.001646666666666667,9.477539490251257e-05,0.001466666666666667,0.0018266666666666663,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,89,delay_survival_probability,30,0.0013933333333333332,9.221829839780701e-05,0.00122,0.0015799999999999996,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,90,delay_survival_probability,30,0.0012266666666666667,8.66931878076965e-05,0.0010666666666666667,0.0013933333333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,91,delay_survival_probability,30,0.0010533333333333334,8.132994151585983e-05,0.0009066666666666666,0.0012000000000000001,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,92,delay_survival_probability,30,0.0009066666666666665,7.715238441847367e-05,0.0007533333333333334,0.00106,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,93,delay_survival_probability,30,0.0008266666666666666,7.833516750114823e-05,0.0006733333333333333,0.0009733333333333334,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,94,delay_survival_probability,30,0.00068,7.647402083105718e-05,0.0005333333333333334,0.0008399999999999999,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,95,delay_survival_probability,30,0.0005466666666666665,7.171676944172186e-05,0.0004133333333333333,0.0006799999999999999,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,96,delay_survival_probability,30,0.00043999999999999996,5.864367365513619e-05,0.0003266666666666667,0.0005466666666666668,2000,0.95,full,False
fig_exp1_delay_verification,A,exact_valid_shift,Exact-cardinal-valid shift,97,delay_survival_probability,30,0.00029333333333333327,5.049942149055992e-05,0.0002,0.00039333333333333326,2000,0.95,full,False
