seed,delay_state_coupling_beta,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,target_mean_delay,exact_match
23,1.0,2.0,5,0.001,0.2778011317192533,0.1509509509509509,2,True
23,1.5,2.0,6,0.0012,0.2981876291140463,0.1665999199038846,2,True
23,2.0,2.0,6,0.0012,0.2946657456437949,0.1665999199038846,2,True
23,3.0,2.0,6,0.0012,0.2971115589100907,0.1670004004805766,2,True
24,0.0,2.0,3,0.0006,0.1722881560172687,0.0612367420452271,2,True
24,0.25,2.0,3,0.0006,0.1971334186303893,0.0826495897538523,2,True
24,0.5,2.0,4,0.0008,0.230224879762847,0.1082866293034427,2,True
24,1.0,2.0,5,0.001,0.2860796805686521,0.1539539539539539,2,True
24,1.5,2.0,6,0.0012,0.3023568998018188,0.1676011213456147,2,True
24,2.0,2.0,6,0.0012,0.3019608508010493,0.1661994393271926,2,True
24,3.0,2.0,6,0.0012,0.3015438959361884,0.1663996796155386,2,True
25,0.0,2.0,3,0.0006,0.1766179671764569,0.0650390234140484,2,True
25,0.25,2.0,4,0.0008,0.2006798501130198,0.0846677341873498,2,True
25,0.5,2.0,4,0.0008,0.2265973323713168,0.1062850280224179,2,True
25,1.0,2.0,4,0.0008,0.2791494437757884,0.1489191353082466,2,True
25,1.5,2.0,6,0.0012,0.2992377765972768,0.1661994393271926,2,True
25,2.0,2.0,6,0.0012,0.2977751715014783,0.1649979975971165,2,True
25,3.0,2.0,6,0.0012,0.3015321083040479,0.1668001601922306,2,True
26,0.0,2.0,2,0.0004,0.1866770717959844,0.0638255302120848,2,True
26,0.25,2.0,2,0.0004,0.2141043751431482,0.0848339335734293,2,True
26,0.5,2.0,3,0.0006,0.2458992615370257,0.1076645987592555,2,True
26,1.0,2.0,4,0.0008,0.3054220114239834,0.1515212169735788,2,True
26,1.5,2.0,6,0.0012,0.3256407181885372,0.1659991990388466,2,True
26,2.0,2.0,5,0.001,0.3294592746110212,0.1661661661661661,2,True
26,3.0,2.0,5,0.001,0.3261849692259028,0.1653653653653653,2,True
27,0.0,2.0,2,0.0004,0.1769914379225538,0.0630252100840336,2,True
27,0.25,2.0,3,0.0006,0.2048119368409613,0.0848509105463277,2,True
27,0.5,2.0,3,0.0006,0.2335161760504667,0.1084650790474284,2,True
27,1.0,2.0,5,0.001,0.285901773526811,0.1509509509509509,2,True
27,1.5,2.0,6,0.0012,0.3062111681438725,0.1668001601922306,2,True
27,2.0,2.0,6,0.0012,0.3051497015112668,0.1665999199038846,2,True
27,3.0,2.0,5,0.001,0.3032070505915644,0.1657657657657657,2,True
28,0.0,2.0,2,0.0004,0.1762932471704149,0.0634253701480592,2,True
28,0.25,2.0,3,0.0006,0.2046249922176733,0.0862517510506303,2,True
28,0.5,2.0,4,0.0008,0.2271197894857931,0.1040832666132906,2,True
28,1.0,2.0,4,0.0008,0.2863916911639301,0.1509207365892714,2,True
28,1.5,2.0,6,0.0012,0.3012355712788035,0.1637965558670404,2,True
28,2.0,2.0,6,0.0012,0.3011297736633891,0.1641970364437324,2,True
28,3.0,2.0,5,0.001,0.3030869301691848,0.1649649649649649,2,True
29,0.0,2.0,2,0.0004,0.1679413338030702,0.0608243297318927,2,True
29,0.25,2.0,3,0.0006,0.1978629978323655,0.0834500700420252,2,True
29,0.5,2.0,4,0.0008,0.2252296398450427,0.1062850280224179,2,True
29,1.0,2.0,5,0.001,0.2788729640470733,0.1523523523523523,2,True
29,1.5,2.0,6,0.0012,0.2979890058171332,0.1692030436523828,2,True
29,2.0,2.0,5,0.001,0.2987041346506983,0.1697697697697697,2,True
29,3.0,2.0,5,0.001,0.3014666433286269,0.1705705705705705,2,True
