seed,scenario,condition,method,horizon,status,failure_reason
0,proxy_good_matched_15,unlabelled,naive,5000,completed,
0,proxy_good_matched_15,unlabelled,naive_ewma,5000,completed,
0,proxy_good_matched_15,unlabelled,delayed_ucb,5000,completed,
0,proxy_good_matched_15,unlabelled,delayed_exp3,5000,completed,
0,proxy_good_matched_15,unlabelled,sliding_window_W250,5000,completed,
0,proxy_good_matched_15,unlabelled,anonymous_delayed,5000,completed,
0,proxy_good_matched_15,unlabelled,causal_labeled,5000,completed,
0,proxy_good_matched_15,unlabelled,causal_em,5000,completed,
0,proxy_good_matched_15,unlabelled,causal_em_misspecified,5000,completed,
0,proxy_good_matched_15,unlabelled,proxy,5000,completed,
0,proxy_bad_matched_15,labelled,oracle,5000,completed,
0,proxy_bad_matched_15,labelled,naive,5000,completed,
0,proxy_bad_matched_15,labelled,naive_ewma,5000,completed,
0,proxy_bad_matched_15,labelled,delayed_ucb,5000,completed,
0,proxy_bad_matched_15,labelled,delayed_exp3,5000,completed,
0,proxy_bad_matched_15,labelled,sliding_window_W250,5000,completed,
