experiment_id,delay_setting,delay_family,setting_role,policy_dependent_delay,regime,method,n_seeds,mean_final_Rc,se_final_Rc,ci95_low,ci95_high,mean_delay,trace_observed_mean_delay,arrival_rate
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,proxy,30,2621.248451508987,65.85528723478951,2492.1720885287996,2750.324814489174,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,mixture_labelled,sliding_window_W250,30,7438.238605281671,114.91091697520734,7213.013208010265,7663.464002553077,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,anonymous_delayed,30,7713.324243109729,114.01819381458763,7489.848583233137,7936.79990298632,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,causal_em,30,5724.347585350969,265.13018470436975,5204.692423330404,6244.002747371534,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,causal_em_misspecified,30,5457.705953670718,221.891624202367,5022.798370234079,5892.613537107358,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,causal_labeled,30,7713.628057588886,119.38007932001001,7479.643102121667,7947.613013056105,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,delayed_exp3,30,7682.170257396693,117.1486690907652,7452.558865978794,7911.781648814593,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,delayed_ucb,30,5646.4850018458865,117.49226815743746,5416.200156257309,5876.769847434464,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,naive,30,5604.08359123441,211.25399743523116,5190.025756261357,6018.141426207463,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,naive_ewma,30,5772.706152457259,159.96562505303697,5459.173527353307,6086.2387775612115,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,oracle,30,0.0,0.0,0.0,0.0,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,proxy,30,5740.626190016343,281.5232415343541,5188.8406366090085,6292.411743423677,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,geometric_matched_15,geometric,matched_primary,False,unlabelled,sliding_window_W250,30,7423.125626535459,105.7832863150588,7215.790385357944,7630.460867712974,15.000087036286763,15.000087036286763,0.9955866666666667
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,anonymous_delayed,30,7706.0702770369135,123.43730380929823,7464.133161570689,7948.007392503138,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,causal_em,30,1555.6648367233743,24.526474970746065,1507.592945780712,1603.7367276660366,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,causal_em_misspecified,30,1546.7541562881308,31.91919825665459,1484.1925277050877,1609.315784871174,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,causal_labeled,30,1572.1046551525424,26.554416460548012,1520.0579988898683,1624.1513114152165,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,delayed_exp3,30,7610.057893269538,113.83408227562371,7386.9430920093155,7833.1726945297605,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,delayed_ucb,30,4592.280874288649,112.33092841645579,4372.112254592395,4812.449493984903,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,naive,30,4125.716012851123,105.75250224188166,3918.441108457035,4332.990917245212,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,naive_ewma,30,4295.33556343112,111.34663987461943,4077.096149276866,4513.574977585375,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,oracle,30,0.0,0.0,0.0,0.0,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,proxy,30,1622.8935908908209,23.13366082141843,1577.5516156808408,1668.235566100801,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,labelled,sliding_window_W250,30,6959.894558972232,107.3000615091206,6749.586438414355,7170.202679530108,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,mixture_labelled,anonymous_delayed,30,7769.334073404922,118.45053397503234,7537.171026813859,8001.497119995985,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,mixture_labelled,causal_em,30,2374.1686323289437,69.48434147902594,2237.979323030053,2510.3579416278344,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,mixture_labelled,causal_em_misspecified,30,2389.24044239148,68.56530830036294,2254.8524381227685,2523.6284466601915,15.004346825333016,15.004346825333016,0.9770799999999998
exp1_controlled_identifiability_contextual,mixture_matched_15,mixture,matched_primary,False,mixture_labelled,causal_labeled,30,2637.3046943628956,64.735965993285,2510.422201016057,2764.187187709734,15.004346825333016,15.004346825333016,0.9770799999999998
