seed,delay_state_coupling_beta,arrival_time_naive,source_labelled_reference,mean_delay,pending_at_horizon,pending_fraction,source_state_mismatch,ranking_reversal_rate,source_binding_advantage
15,0.25,0.5921909098922755,0.2885338045675996,2.0,3,0.0006,0.2133160754884411,0.0870522313388032,0.30365710532467594
15,0.5,0.5809442806839252,0.2854063155104427,2.0,4,0.0008,0.240061820530524,0.1070856685348278,0.2955379651734825
15,1.0,0.6136845724519574,0.276865522979152,2.0,5,0.001,0.2965182877312894,0.1519519519519519,0.3368190494728054
15,1.5,0.6115446296271244,0.2766171698082,2.0,6,0.0012,0.3145947022880567,0.1657989587505006,0.3349274598189244
15,2.0,0.5869426694659196,0.278140101959575,2.0,6,0.0012,0.3096369374844497,0.1643972767320785,0.30880256750634455
15,3.0,0.6463281186361277,0.2752142820926614,2.0,6,0.0012,0.311451193515663,0.1647977573087705,0.3711138365434663
16,0.0,0.587556647885421,0.2881819742599885,2.0,2,0.0004,0.1784335703287062,0.0638255302120848,0.29937467362543246
16,0.25,0.5716273892141444,0.2780913151151324,2.0,3,0.0006,0.2016828217854971,0.0826495897538523,0.29353607409901195
16,0.5,0.6055028389976713,0.2722833350865279,2.0,3,0.0006,0.2332395176131537,0.1072643586151691,0.3332195039111434
16,1.0,0.6027159938503072,0.2760153151445688,2.0,5,0.001,0.2892951681607141,0.1535535535535535,0.3267006787057384
16,1.5,0.6066799053454983,0.2772105262423106,2.0,7,0.0014,0.3076477274855748,0.1678349689565391,0.32946937910318774
16,2.0,0.6245289324330062,0.2793040709317024,2.0,7,0.0014,0.3049950240970675,0.1656318846384939,0.3452248615013038
16,3.0,0.6325553090705557,0.2712427074600075,2.0,6,0.0012,0.3057971416994573,0.1668001601922306,0.3613126016105482
17,0.0,0.5848047601044482,0.2848594612522679,2.0,1,0.0002,0.177652373084483,0.0630126025205041,0.29994529885218024
17,0.25,0.5602497650409602,0.285824000025731,2.0,3,0.0006,0.2043783089655675,0.0836501901140684,0.27442576501522925
17,0.5,0.5665224067823816,0.2800869593613217,2.0,3,0.0006,0.2340926432037483,0.1050630378226936,0.2864354474210599
17,1.0,0.5874764624910217,0.2741741310736832,2.0,4,0.0008,0.2894359578697386,0.1487189751801441,0.3133023314173385
17,1.5,0.6115302149986811,0.2749872903517233,2.0,5,0.001,0.3066562754625411,0.1633633633633633,0.3365429246469578
17,2.0,0.5657888821986629,0.2725828528025126,2.0,5,0.001,0.3103995087713999,0.1649649649649649,0.29320602939615026
17,3.0,0.5980151385888031,0.2719538637553435,2.0,5,0.001,0.3099350399219796,0.1643643643643643,0.3260612748334596
18,0.0,0.6175085425859204,0.2839143065345584,2.0,3,0.0006,0.1748559138416003,0.0626375825495297,0.33359423605136196
18,0.25,0.5721966641843438,0.2838806029351364,2.0,3,0.0006,0.2025481405241375,0.0842505503301981,0.2883160612492074
18,0.5,0.5787918435262637,0.2884791444198192,2.0,3,0.0006,0.2271350576366666,0.1052631578947368,0.29031269910644447
18,1.0,0.5974345218411952,0.2700600634321683,2.0,5,0.001,0.2812544241995949,0.1521521521521521,0.32737445840902685
18,1.5,0.5993902196411504,0.2698026742974729,2.0,5,0.001,0.3000470580219926,0.1661661661661661,0.32958754534367746
18,2.0,0.612215295489614,0.2716183823971107,2.0,5,0.001,0.2974592404396301,0.1659659659659659,0.34059691309250323
18,3.0,0.6171116640600556,0.2698954861326241,2.0,5,0.001,0.2990455181644235,0.1655655655655655,0.3472161779274315
19,0.0,0.6096118191224975,0.2762876350073325,2.0,2,0.0004,0.1786186967071099,0.0640256102440976,0.333324184115165
19,0.25,0.5708847335305774,0.2772110149762335,2.0,2,0.0004,0.2056171587795724,0.0842336934773909,0.29367371855434393
19,0.5,0.5357008749051739,0.2867933583926868,2.0,3,0.0006,0.234206991308426,0.1076645987592555,0.2489075165124871
19,1.0,0.5863462088521988,0.2697495488792529,2.0,5,0.001,0.2930636804293786,0.1531531531531531,0.3165966599729459
19,1.5,0.5980454151462132,0.2792582223835348,2.0,6,0.0012,0.3067697023895428,0.1659991990388466,0.3187871927626784
19,2.0,0.6053313501917998,0.2744361742392093,2.0,5,0.001,0.3106267457165326,0.1687687687687687,0.33089517595259055
19,3.0,0.6130506353404742,0.270127420152462,2.0,5,0.001,0.3114787322753191,0.1687687687687687,0.3429232151880122
20,0.0,0.6075757038303744,0.2903477270138451,2.0,2,0.0004,0.1715293779507015,0.062625050020008,0.3172279768165293
20,0.25,0.574398360442824,0.2853466198439017,2.0,3,0.0006,0.2002755090468904,0.08685211126676,0.2890517405989223
20,0.5,0.6089446592039599,0.2871020214182672,2.0,3,0.0006,0.2264679934314984,0.1082649589753852,0.3218426377856927
20,1.0,0.5915716757193761,0.2748886399962915,2.0,4,0.0008,0.2763606947517306,0.1521216973578863,0.3166830357230846
20,1.5,0.6282612909813176,0.2803645533794171,2.0,5,0.001,0.2964968153239842,0.1681681681681681,0.34789673760190043
20,2.0,0.6149501557011261,0.2777775202151143,2.0,5,0.001,0.2960812108581609,0.1691691691691691,0.3371726354860118
20,3.0,0.614655521094735,0.2741743112216924,2.0,4,0.0008,0.2987705054935434,0.1703362690152121,0.3404812098730426
21,0.0,0.584077079099416,0.286951763892744,2.0,2,0.0004,0.1770411572287487,0.0632252901160464,0.29712531520667196
21,0.25,0.5875718128752278,0.2876849317517218,2.0,2,0.0004,0.2047204404925679,0.0852340936374549,0.299886881123506
