metric_id,point_estimate,finite_resampling_count,resampling_mean,resampling_median,resampling_sd,resampling_bias,absolute_bias_over_sd,sensitivity_range_level,sensitivity_range_method,sensitivity_lower,sensitivity_upper,point_inside_sensitivity_range,formal_ci_validated,legacy_basic_lower_audit_only,legacy_basic_upper_audit_only,point_inside_legacy_basic_audit,parameter_lower_bound,parameter_upper_bound,object_type,object_id
signed_cross_fitted_reference_minus_route_value_difference,-0.09737910928120398,1000,-0.11542361466734301,-0.1150322019368751,0.0207318058430761,-0.018044505386139026,0.8703778880972607,0.95,percentile_user_cluster_sensitivity,-0.15871609870907835,-0.07725051027184641,True,False,-0.11750770829056155,-0.03604211985332961,True,,,route_metric,ridge_proxy
top_action_agreement_with_fold_reference,0.4470588235294118,1000,0.39355294117647055,0.3941176470588235,0.04912117511686954,-0.053505882352941236,1.0892630769854257,0.95,percentile_user_cluster_sensitivity,0.3,0.4823529411764706,True,False,0.411764705882353,0.5941176470588236,True,0.0,1.0,route_metric,ridge_proxy
ridge_over_historical_paired_value_gain,-0.014907464192654013,1000,-0.012393288960435171,-0.012392235566933016,0.010695099014644103,0.002514175232218842,0.23507732175049012,0.95,percentile_user_cluster_sensitivity,-0.034702464253820925,0.007543884965948543,True,False,-0.03735881335125657,0.004887535868512899,True,,,paired_contrast,ridge_over_historical
mean_observed_target,2.794097416235415,1000,2.7932372953482862,2.79222796524365,0.04671932956350129,-0.0008601208871286126,0.018410385918734756,0.95,percentile_user_cluster_sensitivity,2.6987275573158547,2.8841614511192466,True,False,2.704033381351583,2.889467275154975,True,0.0,,calibration_decile,history_mean_control__decile_01
mean_observed_target,2.89904995246553,1000,2.8993134354056003,2.8987103149128286,0.036597472174086675,0.0002634829400700589,0.007199484675245453,0.95,percentile_user_cluster_sensitivity,2.828516734378248,2.973133915139482,True,False,2.824965989791578,2.9695831705528124,True,0.0,,calibration_decile,history_mean_control__decile_02
mean_observed_target,2.924867876583943,1000,2.920184851348243,2.9191058379882566,0.032678823588385274,-0.004683025235700189,0.14330458448218536,0.95,percentile_user_cluster_sensitivity,2.855621853875829,2.986878487319832,True,False,2.8628572658480542,2.9941138992920573,True,0.0,,calibration_decile,history_mean_control__decile_03
mean_observed_target,2.9628719136562744,1000,2.9611095103718954,2.9607927828976273,0.03315137386008664,-0.0017624032843790438,0.05316230005480798,0.95,percentile_user_cluster_sensitivity,2.8986248061320588,3.025100051336231,True,False,2.900643775976318,3.02711902118049,True,0.0,,calibration_decile,history_mean_control__decile_04
mean_observed_target,3.010520700962063,1000,3.0129178803091254,3.011716086100532,0.029978043974174178,0.002397179347062295,0.07996450165752789,0.95,percentile_user_cluster_sensitivity,2.9562269629436777,3.0718559085527803,True,False,2.949185493371346,3.0648144389804486,True,0.0,,calibration_decile,history_mean_control__decile_05
mean_observed_target,3.0110115150762304,1000,3.0146907856184564,3.0138169541387136,0.027880273546882304,0.003679270542225943,0.13196680212046827,0.95,percentile_user_cluster_sensitivity,2.9635524990467426,3.071305421334623,True,False,2.950717608817838,3.0584705311057183,True,0.0,,calibration_decile,history_mean_control__decile_06
mean_observed_target,3.080554533065702,1000,3.0765022321251645,3.0751069327507854,0.03130337287376297,-0.004052300940537545,0.12945253397706533,0.95,percentile_user_cluster_sensitivity,3.018514283361891,3.1410048021823807,True,False,3.0201042639490234,3.142594782769513,True,0.0,,calibration_decile,history_mean_control__decile_07
mean_observed_target,3.1059252428669613,1000,3.1015219795698714,3.1017879528160437,0.02827307828319495,-0.004403263297089843,0.15574049818646984,0.95,percentile_user_cluster_sensitivity,3.0456032223170455,3.1564440436650223,True,False,3.0554064420689,3.166247263416877,True,0.0,,calibration_decile,history_mean_control__decile_08
mean_observed_target,3.1728655320667367,1000,3.170703871971092,3.171569784064654,0.028355548718314704,-0.0021616600956448906,0.07623411266411802,0.95,percentile_user_cluster_sensitivity,3.1167258979909582,3.228071238176981,True,False,3.1176598259564923,3.229005166142515,True,0.0,,calibration_decile,history_mean_control__decile_09
mean_observed_target,3.2982421751498885,1000,3.3021461792780276,3.3029314963359653,0.036093332731061696,0.0039040041281390714,0.10816413538834306,0.95,percentile_user_cluster_sensitivity,3.2264069643502142,3.3671197420587937,True,False,3.2293646082409833,3.3700773859495627,True,0.0,,calibration_decile,history_mean_control__decile_10
mean_observed_target,2.833987643003552,1000,2.8346939301352423,2.834729322224711,0.03274392541106413,0.0007062871316900754,0.021570020173922764,0.95,percentile_user_cluster_sensitivity,2.769133805689109,2.89797734909235,True,False,2.7699979369147543,2.8988414803179956,True,0.0,,calibration_decile,ridge_proxy__decile_01
